gene_name	p_value	avg_logFC	pct.1	pct.2	p value adjusted	cluster	gene
GYPC.4	0.001653173	0.332126075	0.387	0.283	1	5	GYPC
LIMD2.2	0.001677315	0.295509408	0.748	0.649	1	5	LIMD2
MOAP1	0.001682746	0.250731208	0.155	0.083	1	5	MOAP1
PPT1.4	0.001686116	-0.33014487	0.097	0.196	1	5	PPT1
NFU1	0.001743204	0.262786318	0.142	0.076	1	5	NFU1
STMN1.1	0.001822163	0.42321265	0.148	0.067	1	5	STMN1
PEX2	0.001903609	0.293345211	0.129	0.07	1	5	PEX2
IFNAR2	0.001948308	0.274300372	0.142	0.075	1	5	IFNAR2
NFKBIA.3	0.001959303	-0.363594706	0.355	0.46	1	5	NFKBIA
CXCR4.3	0.002058252	-0.302587922	0.471	0.606	1	5	CXCR4
ARHGDIA	0.002081098	0.366709729	0.361	0.283	1	5	ARHGDIA
UBXN1	0.002093958	-0.253745455	0.419	0.511	1	5	UBXN1
AKR1B1.1	0.002259125	0.281846145	0.213	0.147	1	5	AKR1B1
ADK.2	0.002305637	-0.267018608	0.052	0.119	1	5	ADK
MIF4GD	0.002657836	0.293007778	0.168	0.106	1	5	MIF4GD
CDKN2D.1	0.002771408	0.280454894	0.303	0.215	1	5	CDKN2D
DTNBP1	0.002859062	0.30646663	0.168	0.088	1	5	DTNBP1
IRF7.2	0.002924424	0.33416902	0.2	0.16	1	5	IRF7
NT5C.2	0.003207037	0.318688383	0.187	0.121	1	5	NT5C
PDIA4	0.003250885	0.285053292	0.129	0.072	1	5	PDIA4
INPP5K	0.003300571	0.259829939	0.116	0.052	1	5	INPP5K
WARS.5	0.003332082	-0.348351198	0.052	0.14	1	5	WARS
RNASE6.5	0.003491501	-0.356197149	0.032	0.106	1	5	RNASE6
ZNF428.2	0.003640953	0.256398231	0.219	0.149	1	5	ZNF428
DDX6.1	0.003677326	0.309751008	0.187	0.122	1	5	DDX6
ACTN4	0.00379241	0.327319	0.11	0.057	1	5	ACTN4
RNASEH2C.1	0.003855939	0.325034199	0.226	0.167	1	5	RNASEH2C
SH3KBP1.1	0.00391553	0.401416156	0.194	0.159	1	5	SH3KBP1
VPS26A	0.00401464	0.269851008	0.11	0.059	1	5	VPS26A
GBP5.1	0.004103968	0.304255026	0.135	0.072	1	5	GBP5
SNHG8.3	0.004105876	-0.322497863	0.142	0.256	1	5	SNHG8
C1orf162.5	0.004209658	0.413408925	0.503	0.376	1	5	C1orf162
MPEG1.4	0.004232418	-0.305063551	0.032	0.112	1	5	MPEG1
HSD17B10	0.004632329	0.279857368	0.245	0.193	1	5	HSD17B10
SPAG7	0.004807551	0.269410803	0.226	0.205	1	5	SPAG7
RSBN1L	0.004997082	0.29561176	0.181	0.107	1	5	RSBN1L
LSM14A.1	0.005003234	0.277475761	0.181	0.161	1	5	LSM14A
PIGT	0.005014902	0.277692091	0.142	0.078	1	5	PIGT
DCTPP1	0.005468657	0.261084058	0.123	0.083	1	5	DCTPP1
ORAI1	0.005511638	0.297717885	0.123	0.089	1	5	ORAI1
RBBP4	0.005570887	0.263728188	0.174	0.106	1	5	RBBP4
SREK1IP1	0.005697308	0.277331231	0.155	0.091	1	5	SREK1IP1
SMCO4.5	0.006197318	-0.280895523	0.032	0.109	1	5	SMCO4
IFI35.3	0.006892273	0.257357399	0.239	0.176	1	5	IFI35
CPPED1.5	0.007390198	-0.25578258	0.039	0.106	1	5	CPPED1
SEPT6.2	0.007687836	0.306984219	0.284	0.2	1	5	Sep-06
C19orf43	0.007693361	0.252198173	0.652	0.613	1	5	C19orf43
HERPUD1.2	0.007852471	-0.257029474	0.129	0.216	1	5	HERPUD1
SCPEP1.5	0.009159731	-0.287030045	0.065	0.139	1	5	SCPEP1
FCER1A	1.36E-52	2.721768565	0.853	0.01	1.87E-48	6	FCER1A
CLEC10A	4.71E-38	1.814634206	0.735	0.014	6.46E-34	6	CLEC10A
HLA-DPB1.6	7.15E-32	1.961015447	1	0.507	9.80E-28	6	HLA-DPB1
CD74.4	2.46E-31	1.558655464	1	0.84	3.37E-27	6	CD74
HLA-DPA1.6	2.48E-30	1.801335481	1	0.484	3.41E-26	6	HLA-DPA1
HLA-DRA.6	2.12E-27	1.723565452	1	0.55	2.91E-23	6	HLA-DRA
HLA-DQA1.5	2.46E-27	2.066720322	0.971	0.206	3.38E-23	6	HLA-DQA1
HLA-DRB1.6	1.23E-26	1.779494579	1	0.449	1.68E-22	6	HLA-DRB1
CST3.6	5.79E-25	1.744746711	1	0.39	7.94E-21	6	CST3
SERPINF1	6.94E-25	1.132590398	0.441	0.003	9.52E-21	6	SERPINF1
HLA-DRB5.6	1.15E-22	1.621361534	0.971	0.339	1.57E-18	6	HLA-DRB5
HLA-DQB2.1	1.35E-22	0.613050412	0.441	0.021	1.85E-18	6	HLA-DQB2
ENHO	2.22E-20	0.992525728	0.412	0.005	3.05E-16	6	ENHO
HLA-DQA2.5	5.77E-20	1.527531277	0.824	0.114	7.91E-16	6	HLA-DQA2
CD1C	2.19E-19	1.235756206	0.529	0.02	3.00E-15	6	CD1C
HLA-DQB1.6	6.95E-19	1.635742795	0.912	0.23	9.53E-15	6	HLA-DQB1
HLA-DMA.5	8.02E-19	1.157170125	0.971	0.253	1.10E-14	6	HLA-DMA
PHACTR1.1	7.42E-18	0.704825037	0.529	0.04	1.02E-13	6	PHACTR1
HLA-DOA	9.51E-18	0.414697449	0.294	0.015	1.30E-13	6	HLA-DOA
SYK.2	1.00E-17	0.493118146	0.529	0.073	1.37E-13	6	SYK
RPS6KA4	1.10E-17	0.527924029	0.441	0.038	1.51E-13	6	RPS6KA4
LYZ.5	1.79E-17	1.21517841	0.971	0.599	2.46E-13	6	LYZ
NME1-NME2	1.95E-17	0.257297462	0.353	0.059	2.68E-13	6	NME1-NME2
RNASE6.6	2.94E-17	0.848807094	0.676	0.094	4.03E-13	6	RNASE6
CPVL.6	3.17E-17	1.177890407	0.765	0.106	4.35E-13	6	CPVL
GRN.5	3.19E-17	0.96562026	0.941	0.23	4.37E-13	6	GRN
CD33.2	1.24E-16	0.892632908	0.618	0.065	1.70E-12	6	CD33
LGALS2.6	2.02E-16	0.764202593	0.853	0.204	2.77E-12	6	LGALS2
HLA-DMB.5	4.57E-16	0.875809426	0.824	0.169	6.27E-12	6	HLA-DMB
TYROBP.6	6.16E-16	0.438599961	1	0.389	8.45E-12	6	TYROBP
PLD4.1	6.31E-16	1.124097916	0.5	0.041	8.65E-12	6	PLD4
TRIM33	6.81E-16	0.299531604	0.294	0.03	9.34E-12	6	TRIM33
BZW2	9.03E-16	0.328620851	0.412	0.08	1.24E-11	6	BZW2
FCER1G.6	2.89E-15	0.474905874	0.971	0.348	3.97E-11	6	FCER1G
IGFLR1	3.05E-15	0.369310242	0.441	0.072	4.18E-11	6	IGFLR1
UBL7	4.62E-15	0.406636983	0.471	0.085	6.33E-11	6	UBL7
MRPL14	6.73E-15	0.871331363	0.441	0.151	9.23E-11	6	MRPL14
LST1.6	6.83E-15	0.259865694	0.912	0.348	9.37E-11	6	LST1
CCDC88A	9.05E-15	0.522745811	0.382	0.026	1.24E-10	6	CCDC88A
LAP3.3	1.36E-14	0.677294225	0.706	0.145	1.87E-10	6	LAP3
SPI1.6	1.98E-14	0.684127476	0.794	0.204	2.72E-10	6	SPI1
WHAMM.1	2.00E-14	1.321371368	0.118	0.058	2.74E-10	6	WHAMM
CACNA2D3	2.06E-14	0.458123026	0.324	0.014	2.83E-10	6	CACNA2D3
TPM4.1	2.66E-14	0.393626043	0.588	0.122	3.65E-10	6	TPM4
AP1S2.6	2.96E-14	1.016325207	0.941	0.287	4.06E-10	6	AP1S2
LGALS9.4	4.22E-14	0.501455066	0.676	0.166	5.78E-10	6	LGALS9
CTSH.5	5.15E-14	0.76715422	0.765	0.168	7.06E-10	6	CTSH
BTG1.3	5.76E-14	-1.014224645	0.882	0.876	7.90E-10	6	BTG1
GSN.1	6.28E-14	0.817713655	0.5	0.044	8.61E-10	6	GSN
SERPINA1.6	6.89E-14	-0.493366132	0.441	0.242	9.45E-10	6	SERPINA1
CD302.3	9.31E-14	0.904151291	0.441	0.059	1.28E-09	6	CD302
GPX1.5	1.06E-13	0.894141954	1	0.413	1.45E-09	6	GPX1
MALAT1.4	1.19E-13	-0.935785243	1	1	1.64E-09	6	MALAT1
SNRPD1	1.23E-13	0.408957122	0.647	0.207	1.69E-09	6	SNRPD1
RNF130.6	1.33E-13	0.817354865	0.765	0.17	1.82E-09	6	RNF130
LSP1.2	1.37E-13	0.746589958	1	0.536	1.87E-09	6	LSP1
NDRG2	1.44E-13	0.554766708	0.324	0.017	1.98E-09	6	NDRG2
FCGRT.6	2.07E-13	0.639567644	0.824	0.223	2.83E-09	6	FCGRT
HAVCR2.1	2.55E-13	0.32134633	0.353	0.042	3.50E-09	6	HAVCR2
RGS1.3	3.67E-13	0.534179259	0.559	0.098	5.03E-09	6	RGS1
YIF1B	4.11E-13	0.575672069	0.471	0.064	5.64E-09	6	YIF1B
THRAP3	4.17E-13	0.25369645	0.441	0.108	5.73E-09	6	THRAP3
ALDH2.5	4.80E-13	1.568119777	0.588	0.104	6.59E-09	6	ALDH2
KLF4.6	5.36E-13	0.818686191	0.647	0.112	7.35E-09	6	KLF4
PGLS.5	5.79E-13	0.537177631	0.853	0.289	7.95E-09	6	PGLS
NDUFV3.1	5.97E-13	0.310523	0.382	0.071	8.19E-09	6	NDUFV3
H2AFY.6	7.12E-13	0.710861778	0.912	0.286	9.77E-09	6	H2AFY
DNAJC8	7.32E-13	0.842124542	0.471	0.213	1.00E-08	6	DNAJC8
GSTP1.4	7.50E-13	0.980650282	1	0.451	1.03E-08	6	GSTP1
FIBP.2	8.55E-13	0.270758775	0.559	0.166	1.17E-08	6	FIBP
SMPD3	1.18E-12	0.286860508	0.118	0.002	1.62E-08	6	SMPD3
KLF2.2	1.19E-12	-0.931620848	0.529	0.608	1.63E-08	6	KLF2
TYMP.6	1.24E-12	0.706563893	0.941	0.34	1.70E-08	6	TYMP
WDR61	1.40E-12	0.325447383	0.441	0.11	1.92E-08	6	WDR61
RAB22A	1.59E-12	0.284146111	0.294	0.044	2.18E-08	6	RAB22A
COMMD3	1.71E-12	0.921049909	0.382	0.123	2.35E-08	6	COMMD3
ARF3	1.76E-12	0.433289648	0.471	0.085	2.41E-08	6	ARF3
VIM.4	1.93E-12	0.929907686	1	0.793	2.65E-08	6	VIM
FDFT1.1	2.02E-12	0.514479389	0.559	0.121	2.77E-08	6	FDFT1
CD1D.1	2.34E-12	0.611773613	0.441	0.049	3.20E-08	6	CD1D
C12orf45	2.41E-12	0.262863468	0.294	0.036	3.31E-08	6	C12orf45
OXA1L	2.96E-12	0.270191586	0.588	0.195	4.06E-08	6	OXA1L
POMP.1	3.05E-12	0.516793951	0.618	0.15	4.18E-08	6	POMP
C10orf128	3.48E-12	0.380023563	0.265	0.018	4.77E-08	6	C10orf128
CFP.6	3.77E-12	0.99439301	0.735	0.201	5.18E-08	6	CFP
IGSF6.6	3.84E-12	0.828852859	0.618	0.101	5.27E-08	6	IGSF6
ATP5J2.4	4.13E-12	0.349237729	0.824	0.318	5.67E-08	6	ATP5J2
IL1B.2	4.37E-12	1.062140025	0.559	0.072	6.00E-08	6	IL1B
HSH2D.1	4.74E-12	0.267783023	0.382	0.079	6.51E-08	6	HSH2D
PTPRE.2	5.33E-12	0.386839164	0.441	0.083	7.31E-08	6	PTPRE
BUB3.3	6.10E-12	-0.310847621	0.324	0.211	8.37E-08	6	BUB3
ATP5C1	6.29E-12	0.688691324	0.706	0.301	8.62E-08	6	ATP5C1
CD3D.6	6.30E-12	-1.735616206	0.176	0.525	8.64E-08	6	CD3D
VAMP2.3	6.64E-12	-0.632253099	0.5	0.451	9.11E-08	6	VAMP2
BID.5	7.07E-12	0.502870396	0.706	0.197	9.70E-08	6	BID
CCL5.6	7.13E-12	-1.844220306	0.382	0.318	9.78E-08	6	CCL5
BLNK.1	7.34E-12	0.287618048	0.294	0.037	1.01E-07	6	BLNK
TGFBI.6	7.56E-12	0.537639824	0.529	0.1	1.04E-07	6	TGFBI
RPS27.5	7.80E-12	-0.654675208	1	0.993	1.07E-07	6	RPS27
RP6-91H8.3	8.18E-12	0.379325263	0.206	0.003	1.12E-07	6	RP6-91H8.3
CLIC2	8.26E-12	0.406516911	0.235	0.002	1.13E-07	6	CLIC2
CYSTM1.2	9.07E-12	0.305800229	0.324	0.051	1.24E-07	6	CYSTM1
FGR.6	9.23E-12	0.339895565	0.647	0.207	1.27E-07	6	FGR
RNF181.5	1.08E-11	0.286718057	0.647	0.21	1.48E-07	6	RNF181
SAT2.2	1.48E-11	0.337389399	0.588	0.164	2.03E-07	6	SAT2
DDIT4.3	1.52E-11	0.297943855	0.647	0.215	2.08E-07	6	DDIT4
MT-ND6	1.54E-11	0.816962903	0.147	0.091	2.11E-07	6	MT-ND6
IFI30.6	1.55E-11	0.546869233	0.647	0.157	2.13E-07	6	IFI30
SEP15.2	1.55E-11	0.548654313	0.676	0.288	2.13E-07	6	Sep-15
CNDP2	1.83E-11	1.026867826	0.324	0.096	2.52E-07	6	CNDP2
BASP1	1.87E-11	0.498658376	0.324	0.02	2.56E-07	6	BASP1
NCF2.6	2.22E-11	0.368831186	0.618	0.168	3.04E-07	6	NCF2
PON2	2.25E-11	0.410571139	0.235	0.009	3.09E-07	6	PON2
CYC1.2	2.41E-11	0.469334763	0.647	0.186	3.31E-07	6	CYC1
S100A11.6	2.86E-11	0.274770936	1	0.519	3.92E-07	6	S100A11
VCL	3.00E-11	0.268206423	0.265	0.036	4.12E-07	6	VCL
UQCRFS1.2	3.23E-11	0.372443227	0.706	0.279	4.43E-07	6	UQCRFS1
MRPL23.2	3.29E-11	0.286343811	0.735	0.281	4.51E-07	6	MRPL23
TNFAIP2.2	3.35E-11	0.508600133	0.441	0.06	4.60E-07	6	TNFAIP2
GNB1.1	4.17E-11	0.354531302	0.471	0.112	5.72E-07	6	GNB1
CAPG.4	4.17E-11	0.876599517	0.794	0.222	5.72E-07	6	CAPG
SAMHD1.3	4.19E-11	0.555851785	0.765	0.234	5.74E-07	6	SAMHD1
LGALS1.5	4.48E-11	0.931259559	0.941	0.468	6.15E-07	6	LGALS1
REPIN1	4.55E-11	0.330519069	0.324	0.053	6.24E-07	6	REPIN1
GABARAP.6	4.58E-11	0.644306972	1	0.48	6.28E-07	6	GABARAP
ERCC1.1	5.00E-11	0.418680139	0.5	0.112	6.86E-07	6	ERCC1
TPP1	5.57E-11	0.421221975	0.441	0.089	7.64E-07	6	TPP1
NECAP1	5.90E-11	0.275244233	0.294	0.046	8.09E-07	6	NECAP1
CLEC4C	5.95E-11	0.636724918	0.176	0.001	8.16E-07	6	CLEC4C
EVL.4	6.12E-11	-0.751909539	0.529	0.53	8.39E-07	6	EVL
SEC62.2	6.12E-11	-0.323339686	0.324	0.218	8.40E-07	6	SEC62
BAG1.1	6.20E-11	0.296222573	0.529	0.17	8.50E-07	6	BAG1
IL6R	6.21E-11	0.307455991	0.324	0.057	8.52E-07	6	IL6R
VAPA	6.25E-11	-0.486275536	0.353	0.285	8.58E-07	6	VAPA
POLD4.3	6.29E-11	-0.394445031	0.471	0.343	8.62E-07	6	POLD4
EIF4EBP1.4	7.56E-11	0.321297361	0.471	0.117	1.04E-06	6	EIF4EBP1
LTB.6	8.27E-11	-1.622771622	0.471	0.705	1.13E-06	6	LTB
TMEM160.1	8.51E-11	-0.261278852	0.294	0.187	1.17E-06	6	TMEM160
FCN1.6	8.54E-11	-0.295797981	0.647	0.289	1.17E-06	6	FCN1
FKBP3.1	9.97E-11	0.849828378	0.412	0.103	1.37E-06	6	FKBP3
AKR1A1.1	1.00E-10	0.303784658	0.5	0.142	1.37E-06	6	AKR1A1
LY86.5	1.09E-10	0.704070662	0.706	0.183	1.49E-06	6	LY86
ARF5.3	1.12E-10	0.574853992	0.824	0.29	1.54E-06	6	ARF5
PPCS.1	1.24E-10	-0.370348081	0.206	0.189	1.70E-06	6	PPCS
AP2S1.5	1.27E-10	0.64002434	0.912	0.343	1.74E-06	6	AP2S1
CD86.2	1.30E-10	0.440392051	0.382	0.052	1.78E-06	6	CD86
LGMN	1.31E-10	0.383938753	0.235	0.012	1.80E-06	6	LGMN
NAGK.4	1.36E-10	0.331095535	0.471	0.119	1.86E-06	6	NAGK
CTBP2.1	1.49E-10	1.090699721	0.118	0.021	2.04E-06	6	CTBP2
ATP5J	1.49E-10	0.44932774	0.618	0.288	2.04E-06	6	ATP5J
RAC1.5	1.49E-10	0.568493698	0.971	0.428	2.04E-06	6	RAC1
AKAP8	1.56E-10	0.830977905	0.147	0.033	2.14E-06	6	AKAP8
FUOM.1	1.62E-10	0.551509594	0.412	0.065	2.22E-06	6	FUOM
PYCARD.5	1.65E-10	0.56892841	0.912	0.362	2.26E-06	6	PYCARD
GAS6	1.68E-10	0.4490407	0.206	0.002	2.30E-06	6	GAS6
UPK3A	1.96E-10	0.483151027	0.265	0.009	2.69E-06	6	UPK3A
EMC8	1.98E-10	0.311700193	0.353	0.071	2.71E-06	6	EMC8
ZNF385A.2	2.01E-10	0.511715494	0.382	0.045	2.75E-06	6	ZNF385A
APIP	2.03E-10	0.277188853	0.353	0.075	2.79E-06	6	APIP
SCAMP4	2.10E-10	0.264183725	0.265	0.036	2.87E-06	6	SCAMP4
TAGLN2.1	2.36E-10	0.643398531	1	0.501	3.24E-06	6	TAGLN2
SUMO3.1	3.30E-10	0.258273721	0.618	0.204	4.52E-06	6	SUMO3
ACAA1.1	3.30E-10	0.345599869	0.5	0.134	4.53E-06	6	ACAA1
SULF2	3.38E-10	0.690552577	0.382	0.032	4.63E-06	6	SULF2
GLTSCR2.4	3.71E-10	-0.699391997	0.912	0.828	5.09E-06	6	GLTSCR2
APOBR.1	3.78E-10	0.339874646	0.294	0.039	5.18E-06	6	APOBR
HADHA	4.00E-10	0.625101519	0.294	0.206	5.48E-06	6	HADHA
FAM65B.2	4.70E-10	-0.408212415	0.382	0.3	6.44E-06	6	FAM65B
COX6A1.2	4.88E-10	0.25581062	0.941	0.469	6.69E-06	6	COX6A1
HMGN3.1	5.15E-10	0.355956511	0.647	0.231	7.07E-06	6	HMGN3
SOD1.5	5.40E-10	-0.447875518	0.647	0.506	7.40E-06	6	SOD1
PLSCR1.3	5.72E-10	0.5663615	0.559	0.134	7.84E-06	6	PLSCR1
ANXA2.4	5.83E-10	0.865081512	0.941	0.427	7.99E-06	6	ANXA2
PKIB	6.10E-10	0.289420146	0.176	0.002	8.36E-06	6	PKIB
CHPT1.1	6.18E-10	0.256495971	0.412	0.114	8.48E-06	6	CHPT1
COPE.3	6.35E-10	0.387334492	0.912	0.427	8.71E-06	6	COPE
VASP.4	6.41E-10	0.254780351	0.676	0.267	8.79E-06	6	VASP
SPINT2.3	6.55E-10	0.763916006	0.647	0.147	8.99E-06	6	SPINT2
SEC13.1	6.58E-10	0.253227913	0.382	0.098	9.02E-06	6	SEC13
ATG3.4	6.90E-10	0.442408389	0.647	0.204	9.46E-06	6	ATG3
YWHAE.1	8.27E-10	0.34296165	0.5	0.136	1.13E-05	6	YWHAE
PLBD1.2	8.43E-10	0.288444915	0.382	0.083	1.16E-05	6	PLBD1
RPL23A.4	8.94E-10	-0.529203175	1	0.989	1.23E-05	6	RPL23A
CORO7	8.95E-10	0.857104604	0.118	0.064	1.23E-05	6	CORO7
LCK.5	1.10E-09	-1.076268606	0.118	0.362	1.50E-05	6	LCK
POLR3GL.1	1.11E-09	-0.259372657	0.324	0.203	1.52E-05	6	POLR3GL
CMPK2	1.17E-09	0.315804777	0.324	0.058	1.61E-05	6	CMPK2
PPP1R18.2	1.26E-09	-0.495105385	0.324	0.283	1.73E-05	6	PPP1R18
PICALM	1.27E-09	1.131109969	0.147	0.043	1.74E-05	6	PICALM
GNB2.2	1.27E-09	0.451408229	0.735	0.258	1.75E-05	6	GNB2
SEMA4A	1.57E-09	0.419657966	0.324	0.034	2.16E-05	6	SEMA4A
KIF16B	1.61E-09	0.270031537	0.176	0.008	2.20E-05	6	KIF16B
DCXR	1.79E-09	0.274042574	0.5	0.171	2.45E-05	6	DCXR
HEXA.2	1.82E-09	0.295445472	0.382	0.094	2.49E-05	6	HEXA
LAMTOR1.2	2.02E-09	0.464601286	0.853	0.336	2.78E-05	6	LAMTOR1
IFNAR1	2.21E-09	0.295573679	0.324	0.065	3.04E-05	6	IFNAR1
PLEKHO1.2	2.53E-09	0.368899365	0.382	0.077	3.47E-05	6	PLEKHO1
PSMB4	2.55E-09	0.253427078	0.5	0.174	3.50E-05	6	PSMB4
FES.1	2.58E-09	0.345597432	0.294	0.043	3.54E-05	6	FES
CAPNS1.4	2.65E-09	0.629269464	0.382	0.125	3.63E-05	6	CAPNS1
NDUFS3	2.77E-09	0.283082444	0.5	0.16	3.80E-05	6	NDUFS3
EIF6.3	3.14E-09	0.378435755	0.618	0.219	4.31E-05	6	EIF6
PRDX3	3.32E-09	0.348421369	0.5	0.128	4.55E-05	6	PRDX3
PHB	3.32E-09	0.261889394	0.559	0.209	4.56E-05	6	PHB
CSF2RA.1	3.50E-09	0.524540854	0.324	0.029	4.80E-05	6	CSF2RA
GDI2.2	3.52E-09	0.855487631	0.618	0.297	4.82E-05	6	GDI2
DNAJC4	3.69E-09	0.336467282	0.441	0.115	5.06E-05	6	DNAJC4
MAP4K1	3.88E-09	0.300566064	0.324	0.066	5.33E-05	6	MAP4K1
AMICA1.3	4.13E-09	0.743726806	0.765	0.256	5.66E-05	6	AMICA1
ID1.1	4.16E-09	0.911498432	0.412	0.056	5.71E-05	6	ID1
C17orf49	4.73E-09	0.393357351	0.412	0.094	6.49E-05	6	C17orf49
FAM105A	4.88E-09	0.446031223	0.353	0.057	6.69E-05	6	FAM105A
FAM26F.6	5.05E-09	0.393106859	0.647	0.221	6.93E-05	6	FAM26F
GNA15	5.18E-09	0.39710634	0.265	0.02	7.10E-05	6	GNA15
RAB7A.2	5.18E-09	0.371853901	0.765	0.304	7.10E-05	6	RAB7A
GLIPR1.3	5.27E-09	0.283167495	0.559	0.2	7.22E-05	6	GLIPR1
URM1	5.74E-09	0.324770624	0.441	0.121	7.87E-05	6	URM1
MBOAT7.2	5.82E-09	0.34263342	0.324	0.051	7.99E-05	6	MBOAT7
FBLN2	5.89E-09	0.250257818	0.147	0.002	8.07E-05	6	FBLN2
STK38L	5.92E-09	0.314006319	0.235	0.021	8.12E-05	6	STK38L
RGS2.6	6.06E-09	0.550749377	0.765	0.27	8.31E-05	6	RGS2
CLEC4A.1	6.55E-09	0.251666983	0.235	0.031	8.98E-05	6	CLEC4A
C1QBP.1	7.05E-09	0.276507826	0.794	0.363	9.67E-05	6	C1QBP
ATP5G3.1	7.43E-09	0.396363951	0.882	0.422	0.000101929	6	ATP5G3
AKIRIN2.1	7.54E-09	0.392277039	0.471	0.124	0.00010346	6	AKIRIN2
EPC1	8.12E-09	0.446765938	0.235	0.163	0.000111409	6	EPC1
NDUFA11.2	8.28E-09	0.414899532	0.765	0.403	0.000113566	6	NDUFA11
SCIMP.3	9.10E-09	0.323541566	0.353	0.077	0.000124835	6	SCIMP
CD83.3	9.20E-09	0.332897233	0.353	0.07	0.00012622	6	CD83
TMED10.1	9.49E-09	0.370036532	0.529	0.185	0.000130147	6	TMED10
RPS6.4	9.57E-09	-0.382647251	1	0.995	0.000131203	6	RPS6
BIN1.3	1.01E-08	-0.251542034	0.382	0.245	0.000138877	6	BIN1
ADH5.2	1.02E-08	-0.330997987	0.206	0.154	0.000140122	6	ADH5
UNC93B1.3	1.03E-08	0.311560854	0.353	0.08	0.00014082	6	UNC93B1
EIF4A2.4	1.07E-08	-0.589542034	0.706	0.637	0.000146568	6	EIF4A2
SEC61B	1.07E-08	0.397549723	0.735	0.313	0.000146975	6	SEC61B
BLVRB.5	1.08E-08	0.370491798	0.529	0.156	0.00014834	6	BLVRB
HM13.1	1.14E-08	0.256689381	0.412	0.137	0.000155849	6	HM13
PER1.1	1.20E-08	0.269752309	0.265	0.045	0.00016421	6	PER1
ACTB.5	1.24E-08	0.538215872	1	0.991	0.000169474	6	ACTB
LAMTOR2.3	1.25E-08	0.422080415	0.647	0.216	0.000171324	6	LAMTOR2
ANXA5.6	1.28E-08	0.509792414	0.794	0.297	0.000174887	6	ANXA5
SMIM12	1.39E-08	0.251032414	0.412	0.113	0.000191286	6	SMIM12
CYBA.4	1.45E-08	0.404764707	1	0.841	0.000198565	6	CYBA
TAPSAR1.3	1.53E-08	-0.303889731	0.324	0.23	0.000210279	6	TAPSAR1
SRSF5	1.55E-08	-0.27633539	0.971	0.725	0.000212486	6	SRSF5
NANS.2	1.63E-08	0.271233266	0.412	0.11	0.000222896	6	NANS
CCND3.4	1.63E-08	-0.354841668	0.588	0.407	0.000223861	6	CCND3
PI4KB	1.67E-08	0.794406359	0.147	0.049	0.000229422	6	PI4KB
CST7.6	1.72E-08	-1.118672719	0.176	0.198	0.000235348	6	CST7
RASSF4.1	1.74E-08	0.427658076	0.324	0.044	0.000238082	6	RASSF4
MAP7D1	1.79E-08	0.266827218	0.324	0.073	0.000244914	6	MAP7D1
SELK.1	1.81E-08	-0.25625738	0.412	0.288	0.000248169	6	SELK
CTNNBIP1	1.85E-08	0.258844907	0.324	0.059	0.000253972	6	CTNNBIP1
HERPUD1.3	1.90E-08	0.565233896	0.588	0.206	0.000260125	6	HERPUD1
COX5B.4	1.97E-08	0.311697469	0.941	0.494	0.000270537	6	COX5B
YIF1A	1.99E-08	0.263101549	0.353	0.094	0.000272436	6	YIF1A
MNDA.6	2.08E-08	0.601456958	0.529	0.12	0.00028457	6	MNDA
DHRS4L2.1	2.18E-08	0.749264653	0.353	0.115	0.000299127	6	DHRS4L2
ANXA2R.3	2.31E-08	-0.405462329	0.206	0.179	0.00031735	6	ANXA2R
FRMD4B	2.34E-08	0.258447976	0.176	0.009	0.000321058	6	FRMD4B
CSTB.4	2.40E-08	0.571155222	0.824	0.36	0.000328752	6	CSTB
C1orf162.6	2.48E-08	0.994694368	0.794	0.378	0.000339744	6	C1orf162
GNL2	2.51E-08	0.264918146	0.265	0.048	0.000344062	6	GNL2
OS9.1	2.52E-08	0.426899903	0.471	0.13	0.000345407	6	OS9
HLA-E.3	2.54E-08	-0.702312485	0.912	0.882	0.0003488	6	HLA-E
SEPT6.3	2.57E-08	-0.385379458	0.235	0.204	0.000352719	6	Sep-06
NAP1L4.2	2.66E-08	-0.29054713	0.176	0.131	0.000364593	6	NAP1L4
TMEM248	2.70E-08	0.526914822	0.147	0.116	0.000370735	6	TMEM248
CTSZ.5	2.76E-08	0.374489989	0.441	0.107	0.000377922	6	CTSZ
CD53.4	2.93E-08	-0.27006692	0.765	0.537	0.000402295	6	CD53
FUT7	2.95E-08	0.304515611	0.235	0.036	0.000404029	6	FUT7
APEX1.1	3.37E-08	0.523719525	0.676	0.232	0.000462784	6	APEX1
LDHB.5	3.61E-08	-0.775323575	0.676	0.67	0.000494745	6	LDHB
MS4A6A.6	3.74E-08	0.634355847	0.588	0.152	0.000513464	6	MS4A6A
C4orf3	3.85E-08	-0.562820623	0.441	0.368	0.000528328	6	C4orf3
COA5	3.86E-08	0.382014141	0.324	0.063	0.000529645	6	COA5
C10orf11	3.89E-08	0.364936901	0.235	0.019	0.000533939	6	C10orf11
EPSTI1.3	3.99E-08	0.496643463	0.588	0.174	0.000547702	6	EPSTI1
ATP5G1	4.08E-08	0.288715953	0.529	0.201	0.000559076	6	ATP5G1
NRROS.1	4.29E-08	0.290396487	0.294	0.057	0.000587664	6	NRROS
DBI.3	4.41E-08	0.39275444	0.647	0.349	0.000604871	6	DBI
GBP1.1	4.41E-08	-0.261868844	0.147	0.106	0.000605394	6	GBP1
