,cell1,cell2,cell3,cell4,cell5
HN1,0.956530958,1.725718508,0.708776235,1.042102625,4.150223487
SUMO2,4.319013465,4.724742877,4.266587263,4.958629903,4.181249839
NUP85,0.096716987,0.085093191,0.054110734,0.100033671,0.078238255
GGA3,0.168311324,0.16760726,0.047761916,0.081094758,0.115459225
MRPS7,0.690656774,0.803086284,0.708351228,0.866118815,0.630749984
MIF4GD,0.403489645,0.576282549,0.437908847,0.77674951,0.408317296
SLC25A19,0.070183828,0.091871389,0.118288771,0.092546398,0.067892792
GRB2,0.588954532,1.610460553,1.632925617,0.609468332,1.242200963
KIAA0195,0.073759257,0.048128342,0.056517931,0.062256629,0.058078221
TSEN54,0.26986878,0.064219041,0.130559341,0.745057052,0.145410595
LLGL2,0.03611907,0.004424583,0.02268499,0.113642848,0.016809689
MYO15B,0.042552503,0.228563202,0.084346593,0.052452722,0.079195534
RECQL5,0.038477693,0.022967644,0.039858595,0.013400604,0
SMIM5,0,0.008968489,0,0,0
SAP30BP,0.475340893,0.325775971,0.503054784,0.553162208,0.438435761
GALK1,0.117797665,0.907993189,0.112748974,0.209353089,0.384327223
H3F3B,20.6086479,29.85130065,18.42058358,23.11471569,22.3026294
UNK,0.083833408,0.044926029,0.223615911,0.174593081,0.173652886
UNC13D,0.262727252,0.188568849,0.122292297,0.442174741,0.284471055
WBP2,0.617944863,0.663101315,1.086911168,0.791634895,0.923015073
TRIM47,0.10979948,0,0.023388405,0.081102533,0
TRIM65,0.071001505,0.078651881,0.189037073,0.115651468,0.024807137
MRPL38,0.167675654,0.191868259,0.1458062,0.136248937,0.139916944
FBF1,0.038727774,0,0.029200698,0.01470599,0
ACOX1,0.038981793,0.07809891,0.015350231,0.027679667,0.082579871
TEN1,0.229979564,0.440746041,0.549121008,0.250202583,0.461238194
CDK3,0.013295503,0.035059325,0.012159637,0.012067239,0.021314963
SRP68,0.299604446,0.119994938,0.309155759,0.378903188,0.198360251
ZACN,0.010611739,0,0,0,0
GALR2,0.011137432,0.039692429,0,0,0
EXOC7,0.376934153,0.313358226,0.372627761,0.441540086,0.573201431
RNF157-AS1,0.016546469,0,0,0,0
RNF157,0.138750825,0.02005428,0.024168106,0.062086497,0
UBALD2,0.677363294,0.453920946,0.507166383,0.457392161,0.17471249
QRICH2,0.01101478,0,0,0,0
PRPSAP1,0.290099302,0.149034882,0.35888543,0.411485929,0.242134889
SPHK1,0.003698776,0.090116627,0,0,0.016674309
UBE2O,0.017347053,0.058238752,0.078381408,0.027595708,0.128525879
RHBDF2,0.097190095,0.158583081,0.56440117,0.187049938,0.254973223
PRCD,0.00936429,0,0.142833207,0,0
ST6GALNAC2,0.023010605,0.138917842,0.013350529,0.026412692,0.068538733
ST6GALNAC1,0.03575179,0,0,0,0
RP11-318A15.2,0.011746881,0,0,0.021407317,0.024139837
MXRA7,0.003558144,0,0.026186733,0.014565582,0
JMJD6,0.198940368,0.317950465,0.214858297,0.458439813,0.278399899
METTL23,0.749719366,0.463823641,0.728123594,1.113281344,0.447328175
SRSF2,2.478233218,1.697412586,2.383008889,2.808061694,1.576326253
MFSD11,0.209502349,0.15660063,0.218083923,0.32726636,0.098363906
SEC14L1,0.115901127,0.245985712,0.201203082,0.115706077,0.787143007
SEPT9,2.208046384,1.547611,1.201654803,1.792936783,2.604363648
RP11-936I5.1,0.163846076,0.045670488,0.023448583,0.08782398,0.028875779
FLJ45079,0.00951155,0.013379985,0.015898453,0,0
TNRC6C,0.407595467,0.020061612,0.043871905,0.32152648,0.035257964
TMC6,0.748059866,0.364914212,0.51917767,0.798876887,0.837022676
TMC8,0.812013707,0.500024381,0.551462464,0.89408355,0.417052297
SYNGR2,0.314446014,1.026542685,1.169489965,0.338294105,1.974662118
TK1,0.001375134,0.02547567,0,0.102402138,0
AFMID,0.013279362,0.076407225,0.008507026,0,0.014017558
BIRC5,0,0,0,0.049269739,0
AC061992.2,0.021684968,0.011965726,0.013269977,0.01325961,0.015657122
SOCS3,1.639285831,1.035070728,0.287708603,0.474092848,0.353838715
PGS1,0.193022869,0.091707656,0.17321686,0.351196147,0.057192896
CYTH1,0.886811855,0.469636663,0.629002352,0.953147059,0.702562353
USP36,0.295868706,0.156450287,0.103820036,0.131364138,0.147925607
TIMP2,0.011875211,0.292254681,0.051812579,0.031899917,0.174532521
LGALS3BP,0.543586906,0.16793579,0.303941695,0.181125876,0.14406346
CANT1,0.093412539,0.10789034,0.092104981,0.087522818,0.080521925
ENGASE,0.03725393,0.178411972,0.067198023,0.038582624,0.063727632
CBX2,0,0.004346239,0.018548196,0,0.04070236
CBX8,0.003168264,0.027329094,0.012386969,0.004846264,0.029103655
CBX4,0.058211256,0.103294552,0.070461152,0.051610457,0.06650074
GAA,0.040164656,0.262564112,0.041165825,0.124984706,0.345443099
EIF4A3,0.622055305,0.416149643,0.424995788,0.818244161,0.675383928
RP11-334C17.5,0.036262159,0.072393519,0,0.013724199,0.011315686
SGSH,0.104676002,0.112911209,0.070208763,0.038182449,0.048160235
SLC26A11,0.087365599,0.018099301,0.04156954,0.115138037,0
RNF213,1.237640592,1.38172027,0.887760923,1.150113102,2.290385325
CTD-2047H16.4,0.013340615,0,0,0,0
ENDOV,0.151032607,0.13964751,0.239184129,0.093566278,0.203253618
RPTOR,0.047078328,0.063800248,0.025330638,0.104432766,0.111279059
CHMP6,0.199347376,0.332321179,0.197345382,0.501112988,0.245991985
BAIAP2-AS1,0.007319441,0.090220693,0.015898453,0,0.069963645
BAIAP2,0.022140809,0.085184696,0.05220748,0.009106348,0.050842375
AATK,0,0.017706243,0,0,0.014973915
AZI1,0,0.016941083,0.032409171,0.022646992,0
ENTHD2,0.082718987,0.079267426,0.078875294,0.238986775,0.083973234
C17orf89,0.809210905,0.497428504,0.542262458,0.995317982,0.580985422
SLC38A10,0.202950916,0.283252396,0.11238402,0.169189475,0.201730854
LINC00482,0,0.027656482,0,0,0
TMEM105,0,0.02113143,0,0,0
RP11-1055B8.4,0,0.025566949,0,0,0
RP11-1055B8.7,0,0.071239411,0,0,0
ACTG1,13.55349101,14.35688301,9.468015431,19.34448534,17.73386648
C17orf70,0.068522097,0.091250735,0.108379788,0.098201788,0.024871822
NPLOC4,0.085673927,0.16566073,0.080562615,0.091024588,0.153543504
PDE6G,0.010957674,0.062705995,0.041468327,0.018800769,0.024271904
OXLD1,0.728274714,0.392506378,0.462340737,0.328081216,0.434288446
CCDC137,0.147273823,0.095906314,0.20678999,0.247531866,0.083443949
ARL16,0.24746539,0.162849061,0.343405238,0.39679996,0.140308834
HGS,0.136385512,0.204680513,0.167593341,0.216289286,0.184076407
RP13-1032I1.7,0.176640496,0.047786243,0.095968308,0.152654843,0.047390805
MRPL12,0.309535296,0.482398937,0.558613209,0.348116676,0.499056769
SLC25A10.1,0.0210462,0.019453716,0,0.080555549,0.012492317
FAM195B,0.068226454,0.07999511,0.011146334,0.058774002,0.070829086
P4HB,0.955248418,1.527244261,0.767794891,1.774767311,1.203092402
RP11-498C9.2,0.007945394,0,0.017142015,0,0
RP11-498C9.3,0.015312319,0.005793357,0.062643224,0.039960672,0.074563987
ARHGDIA,1.612018968,1.617236421,1.750244206,1.51717923,2.081206133
RP11-498C9.15,0.018515984,0.020401244,0,0,0
ALYREF,0.032184802,0.110684749,0.058468997,0.079010051,0.05331443
ANAPC11,1.136207641,1.926396141,0.770400382,1.002724155,1.544000053
PCYT2,0.146318479,0.06146127,0.127497708,0.211690893,0.070389199
SIRT7,0.323454694,0.483280767,0.354999536,0.465238239,0.332622049
MAFG,0.033232677,0.221672541,0.116600397,0.024579508,0.085101126
PYCR1,0.010876574,0,0.005492583,0,0
ASPSCR1,0.267249077,0.231322303,0.239096024,0.222770625,0.247734202
STRA13,0.461828029,0.601017344,0.497464575,0.59596604,1.068155035
LRRC45,0.082277964,0.017075237,0.045958448,0.047557807,0.016809689
RAC3,0.013556639,0,0,0,0
DCXR,0.84953737,0.82445984,0.920160202,0.818330096,0.763876623
RFNG,0.081796782,0.080052237,0.026082165,0.460124024,0.056592301
GPS1,0.33859545,0.270876391,0.233053353,0.240403029,0.376511057
DUS1L,0.1517856,0.110663172,0.106339392,0.13260871,0.161128356
FASN,0.057589487,0.016980933,0,0.034707855,0.0153628
CCDC57,0.448722854,0.30836181,0.38589051,0.323991177,0.480953745
SLC16A3,0.081185335,0.934283775,0.068772167,0.105130725,1.522301723
CSNK1D,0.294946824,0.324057919,0.374377569,0.364749543,0.469502683
AC132872.2,0.033159109,0.026493864,0.019895271,0.044288196,0.015665019
RP13-516M14.4,0.034891081,0,0.061372496,0.073566027,0.029832758
RP13-516M14.1,0.011302416,0.010018735,0.043100601,0,0.028259468
CD7,4.298392582,0.232600991,0.289460752,4.145472418,0.174698426
SECTM1,0.012293608,0.310892637,0,0.015159784,0.509458534
OGFOD3,0.21516057,0.226175755,0.149587918,0.179290513,0.239317461
HEXDC,0.120247641,0.098096366,0.038540795,0.048405227,0.089513503
C17orf62,0.846472007,0.795314215,0.743230439,0.655275354,0.785476637
NARF,0.390635875,0.393210281,0.250533789,0.512251675,0.219868317
FOXK2,0.07495015,0.045883545,0.080625489,0.079809904,0.026503488
RP13-638C3.4,0.003705075,0.020469609,0.022665098,0.014956402,0
WDR45B,0.258461435,0.367613769,0.233685063,0.377969058,0.278049224
RAB40B,0.049566578,0.032028732,0.035032976,0.103016931,0.04070236
FN3KRP,0.38254551,0.080048093,0.251340673,0.259928186,0.174116172
FN3K,0.037904284,0.040645062,0,0.034629861,0
TBCD,0.148231833,0.101577585,0.06264819,0.232361783,0.34677938
B3GNTL1,0.046497856,0.064761603,0.004510771,0.096608083,0.091809352
METRNL,0.00688641,0.223994858,0.078563569,0.051638647,0.237599681
USP14,0.288411585,0.168861909,0.306742783,0.346253184,0.157636542
THOC1,0.138431637,0.04864653,0.117844003,0.129227013,0.069618454
RP11-705O1.8,0,0.047386267,0.011102895,0.025442268,0.011960678
TYMS,0.003301677,0,0.014807707,0.076679259,0.012642337
ENOSF1,0.174543906,0.036474526,0.06274197,0.172647448,0.041373287
YES1,0.005409087,0,0,0,0
RP11-672L10.6,0.018446349,0,0,0.019902752,0
METTL4,0.145486531,0.021883804,0.221070514,0.118942973,0.03402196
NDC80,0.029123479,0,0.037444162,0.043322973,0.02661174
SMCHD1,0.578432984,0.35552414,1.408417289,0.763869746,0.484100725
EMILIN2,0.033287381,0.424533895,0.026945141,0.051111242,0.382927938
LPIN2,0.301728795,0.103750078,0.048616291,0.399386259,0.085232261
MYOM1,0,0,0.04320911,0.014342161,0
RP13-270P17.3,0.075050345,0.093041656,0.029199954,0.11847014,0.047435665
MYL12A,14.81176667,6.086129,9.416924319,17.76817591,9.487320244
RP13-270P17.1,0.019169652,0.008527112,0,0,0
MYL12B,6.258256591,4.821105347,4.118902114,8.406368589,7.889294103
TGIF1,0.34249273,0.307573173,0.271274315,0.546273014,0.079898255
DLGAP1-AS1,0.13894021,0.036417507,0.068025386,0.220559659,0.026968011
DLGAP1-AS2,0.004514118,0.007216856,0.012170025,0,0.012601299
LINC00667,0.358089866,0.226814249,0.508964776,0.349102601,0.289552933
LINC00526,0.059076416,0.077759235,0.10809907,0.069575539,0.018219948
ZBTB14,0.098122445,0.034587826,0.124196372,0.098855954,0.076643172
EPB41L3,0.014471728,0.262549545,0.014103975,0,0.265945775
L3MBTL4,0,0.005691018,0,0.02028377,0
PTPRM,0.005775852,0,0,0.01497959,0
RAB12,0,0,0.011690615,0.052367673,0
NDUFV2,1.420106851,1.357797758,1.360907039,1.539755765,1.868078806
RP11-143J12.2,0.271361451,0.037068805,0.093317614,0.126461325,0.049011752
ANKRD12,2.004316307,0.595936142,1.847322785,1.949638072,0.865493482
TWSG1,0.022970079,0.018513652,0.071703748,0.031465108,0
RALBP1,0.225361752,0.349254079,0.314850219,0.574330619,0.420678967
PPP4R1,0.061305079,0.141564126,0.032881019,0.013724199,0.059538579
RAB31,0.003935679,1.008992519,0.074600125,0.015287715,0.722416382
VAPA,1.669846047,1.336282509,1.632836526,2.122123232,1.705962982
NAPG,0.078293497,0.041578992,0.090698746,0.094004715,0.278583328
GNAL,0.009411598,0.007465082,0,0.015475444,0
CHMP1B,1.240891738,2.182927139,1.224079323,1.010986923,2.077997944
RP11-78A19.3,0.024087004,0,0,0.020582123,0.015306013
MPPE1,0.295624784,0.329787561,0.2934891,0.352737987,0.386285039
RP11-820I16.4,0.034823892,0.057608672,0,0,0.046126623
IMPA2,0.039865259,0.433092502,0.051828585,0.010081916,0.302254637
TUBB6,0.003632396,0.163269165,0.369821527,0.02549922,0.131829643
AFG3L2,0.165426096,0.083154981,0.122543006,0.191651288,0.120493134
SPIRE1,0.003981345,0,0,0.014565582,0
PSMG2,0.95137971,1.294976615,0.526603829,1.092384224,1.13055909
CEP76,0.01851663,0.006253733,0.011146334,0.026680771,0.013226533
RP11-973H7.4,0.011957706,0.00449794,0,0.088481379,0
RP11-973H7.1,0.015781793,0,0,0,0
PTPN2,0.704115361,0.847075201,0.760024841,0.728102322,0.800086995
SEH1L,0.0737115,0.138515527,0.115028781,0.087696236,0.126067147
CEP192,0.05158356,0.051821768,0.045274063,0.057766576,0.031039906
LDLRAD4,0.116750517,0.13579884,0.080855181,0.099651269,0.266731544
FAM210A,0.090906395,0.062677904,0.115150174,0.161353777,0.048270563
RNMT,0.260220165,0.10741418,0.153729611,0.152856324,0.140470868
ZNF519,0.039752727,0,0.010911539,0.012245673,0
CYP4F35P,0.013477501,0,0,0,0
ROCK1,0.650609099,0.349491708,1.131900852,0.839011486,0.507647281
ESCO1,0.081386664,0.043613785,0.097947182,0.070123364,0.085984938
SNRPD1,1.016275989,1.025923699,0.976531998,1.15752791,1.356245385
ABHD3,0.318313456,0.202455392,0.253741587,0.346830483,0.450708797
MIB1,0.039572274,0.038246403,0,0.028456581,0.062131352
RP11-535A5.1,0.030427381,0,0,0.079348487,0
RBBP8,0.018434946,0.015824913,0.043289782,0,0.066840075
CABLES1,0.002694495,0.005080965,0,0,0
TMEM241,0.00804668,0.019826195,0.047914069,0,0
RIOK3,0.215462541,0.237684374,0.228072621,0.254540324,0.307238476
C18orf8,0.153946069,0.148543108,0.305843691,0.358006572,0.16950331
NPC1,0.041615163,0.086964307,0.048714836,0.080687334,0.053480247
RP11-403A21.1,0.007455403,0,0.005905893,0,0
TTC39C,1.123569543,0.144579773,0.28527562,0.657771348,0.177864659
RP11-403A21.2,0.206350113,0,0,0.074888153,0.050903608
OSBPL1A,0.014775285,0.019613883,0.110403945,0,0.022190711
IMPACT,0.149888306,0.055792047,0,0.028450643,0.113054139
SS18,0.073762413,0.01914855,0.04779096,0.115383821,0.033552723
PSMA8,0.009449492,0,0,0,0
TAF4B,0.050938204,0.008344216,0.093203655,0.026912792,0.027605968
KCTD1,0.006827316,0.011849996,0,0.013211261,0
DSC2,0,0.019826173,0,0,0
B4GALT6,0.001828408,0,0,0.017925484,0.015193689
TRAPPC8,0.073174895,0.07700394,0.113371851,0.101328982,0.093567714
RP11-326K13.4,0.058663531,0.029500664,0.045066114,0.02297088,0.017101267
RNF125,0.325643686,0.333312457,0.092722901,0.527769239,0.172319315
RP11-53I6.3,0.052780787,0.006351989,0.028372667,0.031261558,0.019271425
RNF138,0.470119369,0.238620368,0.182905797,0.285960167,0.168336742
KLHL14,0.005247217,0,0.053525054,0,0.015171422
DTNA,0,0.016610032,0,0,0
MAPRE2,0.325008986,0.245989084,0.514361653,0.417673377,0.262692413
ZNF397,0.073375371,0.054945516,0.195974603,0.120457979,0.077234004
ZSCAN30,0.014902132,0.005289522,0,0.035550353,0
ZNF24,0.466126351,0.398016054,0.643792762,0.774647713,0.267375447
ZNF396,0.003740103,0,0.009913023,0.010464082,0
INO80C,0.192727939,0.232413919,0.21225554,0.196547267,0.340538895
GALNT1,0.088803339,0.132459526,0.200041723,0.127999441,0.101252846
RP11-873E20.1,0.004623363,0.006060716,0,0,0
C18orf21,0.197609559,0.241871771,0.234946517,0.316868885,0.256309436
RPRD1A,0.145685665,0.098173447,0.357036487,0.197263443,0.254417232
SLC39A6,0.137222319,0.043377863,0.202585974,0.080138491,0.088976991
ELP2,0.253827811,0.061688469,0.398630592,0.32116093,0.044305034
TPGS2,0.195296987,0.216547111,0.180655814,0.308594191,0.285630961
KIAA1328,0.085976447,0.075207333,0.095021984,0.094894794,0.012032507
PIK3C3,0.129532185,0.083937942,0.13804346,0.136664148,0.106554314
SETBP1,0.004420194,0.004618852,0.132294161,0.014370603,0.06288687
SLC14A2,0.013036152,0,0.010160495,0.014370603,0
SLC14A1,0.012103653,0,0.018842611,0.006097078,0.022610776
EPG5,0.064439072,0.035490859,0.063852033,0.09013909,0.012910372
PSTPIP2,0.089021067,0.224785376,0.005905893,0.044610621,0.235550633
ATP5A1,2.796174273,2.232674688,2.484630851,2.895249174,2.706522307
HAUS1,0.27085295,0.253196184,0.447792152,0.461202246,0.366601615
C18orf25,0.081950193,0.069826352,0.043137909,0.021573233,0.063724676
RNF165,0.00365068,0,0,0,0
PIAS2,0.079089261,0.076415027,0.058941165,0.10370784,0.026389306
HDHD2,0.18663665,0.090039963,0.25564931,0.28705703,0.125620986
IER3IP1.1,0.641150262,0.424749864,0.656127036,0.904338102,0.390406445
SMAD2,0.276385724,0.207182347,0.271317673,0.350297483,0.33851185
CTIF,0,0.00814319,0.01001407,0,0
SMAD7,0.024418167,0.013190303,0,0.068210265,0.032159723
DYM,0.122975103,0.107939522,0.206375353,0.158743264,0.100905873
C18orf32,0.484540962,0.55989673,0.374230772,0.902287639,0.7185456
RPL17,29.60784736,16.60631444,25.5325363,25.39106093,13.04458171
ACAA2,0.295690128,0.428562716,0.190160671,0.549377152,0.45745979
MBD1,0.224105514,0.122954823,0.196468416,0.307657994,0.080413901
CXXC1,0.241378026,0.213864537,0.448710063,0.63944,0.173242855
SKA1,0,0,0.020483872,0,0
ME2,0.256570318,0.240490887,0.362535579,0.205057835,0.338290483
ELAC1,0.175864576,0.067795306,0.194125921,0.114017605,0.054216489
SMAD4,0.072079188,0.010406215,0.065388498,0.058775113,0.120649667
MEX3C,0.048667796,0.021470479,0.020030845,0.091937954,0.016032989
MBD2,0.036207317,0.194541995,0.070167502,0.081148744,0.657995187
POLI,0.045076722,0.03317461,0.01637358,0.015873772,0.060831419
RAB27B,0.019068043,0.008551869,0.019172294,0.028900943,0.031431211
TCF4,0.030942136,0.10337877,0.677444432,0.037160907,0.0587585
TXNL1,0.858972511,0.78407012,0.938014995,0.713476874,1.131409216
WDR7,0.013897906,0.032287137,0.020694136,0.060158629,0.042387341
FECH,0.102371,0.045549711,0.037645976,0.12179901,0.083388077
NARS,0.498305583,0.701301423,0.303736906,0.507792329,0.429176007
RP11-35G9.3,0.100284268,0.14977579,0.367114467,0.322070975,0.094150557
ATP8B1,0.010169146,0.006405268,0.014784654,0,0.012966973
NEDD4L,0.018688139,0,0,0,0
RP11-1151B14.4,0.004055555,0.024888897,0,0,0.019087831
MALT1,0.391124261,0.112789827,0.227065859,0.225121838,0.073215319
RP11-108P20.1,0.013857303,0.011670832,0.069193723,0.031499246,0
ZNF532,0,0.037690652,0.011323541,0,0
SEC11C,0.70995011,0.838160996,0.752331189,1.073165537,0.901050326
LMAN1,0.259688758,0.112859464,0.292576364,0.198620846,0.047407638
PMAIP1,0.589871776,0.624229536,1.104820262,0.870124248,1.016349455
CDH20,0.013981749,0,0,0,0
RP11-879F14.2,0,0,0,0,0
PIGN,0.044344347,0.026833452,0.019826046,0.012450819,0.027866235
KIAA1468,0.050076548,0.057779263,0.085054686,0.098306697,0.056139951
TNFRSF11A,0.002416219,0,0,0,0
ZCCHC2,0.083937706,0.058260912,0.064468064,0.064159286,0.066990964
PHLPP1,0.003068836,0.006163993,0,0.014125491,0
BCL2,0.596524309,0.058944526,0.456135058,0.42497661,0.030971434
KDSR,0.351474291,0.121381159,0.147996342,0.230281934,0.041246219
RP11-635N19.1,0.050323547,0.023883317,0.05960596,0,0.023604279
VPS4B,0.366398865,0.24434664,0.298263431,0.616729788,0.38063836
SERPINB2,0,0.024243289,0,0,0
SERPINB8,0.046198709,0.080471038,0.056288944,0.042986335,0.11787395
DSEL,0.04363279,0,0,0,0
TMX3,0.209223831,0.075614637,0.106977678,0.159513631,0.043712161
CCDC102B,0.039165559,0.00580314,0.022256958,0.036096522,0
DOK6,0.008046419,0,0,0,0.01564529
CD226,0.093505051,0.007124588,0.0257388,0.112432482,0.032980838
RTTN,0.027194708,0,0.011102895,0,0.011661998
SOCS6,0.016301836,0.045656284,0,0.0247354,0
GTSCR1,0.042469799,0,0,0,0
TIMM21,0.058638295,0.073314163,0.126447791,0.084176445,0.017437339
CYB5A,0.422522561,0.262626253,0.97241388,0.662845866,0.136424362
CNDP2,0.282113186,0.47885588,0.584441372,0.523089835,0.700204214
LINC00909,0.123226163,0.091526799,0.291445415,0.164726716,0.080189194
ZNF407,0.021247774,0,0.049815316,0.052496454,0.045872822
ZADH2,0.114802423,0.111848981,0.04454241,0.265002405,0.071525105
TSHZ1,0.048515863,0.050490714,0.048581921,0.064987414,0.014916379
ZNF516,0.024301281,0.180453532,0.009380977,0.008350766,0.095216454
RP11-17M16.1,0,0.011043182,0,0,0.022190711
RP11-162A12.2,0.003315512,0,0.014090024,0.015770135,0
ZNF236,0.083387296,0.009241845,0.122708275,0.084563018,0.069007421
RP11-862L9.3,0,0,0.06843013,0,0.045872822
MBP,0.449871615,0.346734552,0.184345703,0.632814605,0.429169418
ATP9B,0.114960058,0.030192082,0.053138634,0.182155803,0.033423739
NFATC1,0.165800342,0.143789737,0.381742635,0.106708159,0.190561472
CTDP1,0.086158502,0.127721112,0.131697198,0.118475738,0.122585654
PQLC1,0.07545676,0.225778482,0.181527541,0.103743692,0.182592035
HSBP1L1,0.23411117,0.066079277,0.015371331,0.078570588,0.057079762
TXNL4A,0.580992437,1.00412409,0.513592922,0.706699486,0.700566668
RBFA,0.199569055,0.105247924,0.150547956,0.071766228,0.101875044
ADNP2,0.021434475,0.030318307,0.047298115,0.066756785,0.01564529
AC139100.2,0.002672158,0,0,0,0.019146671
C20orf96,0.034540712,0.023084635,0.013521608,0.032484478,0.011960678
ZCCHC3,0.030616996,0.040546663,0.047219643,0.108655057,0.063727103
RP5-1103G7.4,0.007484647,0.015100094,0.047914096,0,0.014869955
SOX12,0.004778619,0,0.017446435,0,0
TRIB3,0.032403905,0.043851605,0.086515056,0.109378701,0.042964494
RBCK1,1.041601483,1.207078039,1.130439441,1.094532945,1.832660247
TBC1D20,0.090932371,0.107044614,0.276950873,0.299320861,0.081361894
CSNK2A1,0.185826228,0.154212776,0.297316824,0.277802588,0.241721397
SRXN1,0.00945794,0,0,0.016138924,0.029134345
FAM110A,0.176108488,0.385965342,0.116078725,0.212950638,2.323170221
PSMF1,0.833955229,0.612880321,0.679118673,0.791462134,0.865591021
SNPH,0.014373013,0,0,0.029820481,0
SDCBP2,0.00663224,0,0.01415302,0,0
SDCBP2-AS1,0.070499689,0,0.023753066,0.041401551,0
RP11-314N13.3,0.0390114,0,0,0,0
FKBP1A,2.036950274,6.572648078,2.210128254,1.784037866,9.728880756
NSFL1C,0.462900013,0.452669962,0.849793243,0.440899613,0.610224685
SIRPB2,0.003457775,0.096996879,0.014931881,0.033126294,0.02709939
SIRPD,0.003552335,0.044964573,0,0,0.032026375
SIRPB1,0.064099593,0.456027461,0.045559374,0.046677193,0.529114393
SIRPG,0.472666169,0.023624473,0.019562963,0.554492879,0.064754261
SIRPA,0,0.444208531,0.019826046,0,0.072892847
RP4-684O24.5,0,0.050723681,0,0,0
STK35,0.045533994,0.024696139,0.045065455,0,0
RP11-128M1.1,0.007258294,0.007914993,0.016068826,0,0.039465593
SNRPB,1.625030353,1.871134785,2.209589063,3.059363644,1.986650645
ZNF343,0.013878864,0,0.084787342,0.025319928,0
NOP56,0.731604188,0.648667702,0.673067931,0.986148698,0.536280023
IDH3B,0.771584581,0.967979335,0.90322242,0.758555463,0.747089562
PCED1A,0.064209455,0.059449498,0.101323183,0.056681175,0.100230969
VPS16,0.171679667,0.195036288,0.078332879,0.264747232,0.096933209
PTPRA,0.346177453,0.21535556,0.222906635,0.401005907,0.237348938
MRPS26,0.641664948,0.337213583,0.809513912,0.776899214,0.725042919
OXT,0.014955277,0,0.007872348,0,0
UBOX5,0.051728644,0.022570149,0.026938853,0.035809311,0.133019517
FASTKD5,0.058812656,0.062407357,0.084379601,0.029526559,0.04824141
DDRGK1,0.49003709,0.588508843,0.516550709,0.569261678,0.459526237
ITPA,0.483187189,0.654563993,0.73315939,0.446201283,1.769634746
C20orf194,0.058698883,0.084281242,0.031761459,0.019990974,0.028920774
ATRN,0.017980743,0.07592863,0.032465481,0.032727318,0.036039845
SIGLEC1,0.023034031,0.370327512,0.020659919,0.023895719,0.161989531
C20orf27,0.301559454,1.869219027,0.354135093,0.290237753,1.727896393
CENPB,0.058439412,0.107415246,0.017435758,0.057755204,0.14454461
CDC25B,0.671404783,0.043605,0.162546041,0.710790251,0.110481575
AP5S1,0.058740558,0.027535467,0.048011739,0.035805406,0.039315181
MAVS,0.029009389,0.056806069,0.055273029,0.10231244,0.030668813
RP11-119B16.2,0.034732475,0.009120431,0.069150173,0,0.011661998
PANK2,0.342665505,0.47288501,0.269925093,0.327174631,0.566452066
RNF24,0.077274756,0.18404644,0.041631642,0.134186971,0.025827832
SMOX,0.002881861,0.032927393,0,0,0
PRNP,0.561534323,0.529797921,0.322651185,0.731913697,0.446150803
RASSF2,0.127596941,0.411103595,0.178032702,0.036756603,0.429360247
SLC23A2,0.031932283,0.04024263,0.100749779,0.053366559,0
TMEM230,1.551824337,1.582927196,1.522715357,1.857910555,1.433539552
PCNA,0.473090805,0.078226674,0.188072727,0.463981211,0.315997864
CDS2,0.273949676,0.274922287,0.22749332,0.347111276,0.26862447
GPCPD1,0.18011765,0.246597942,0.323039509,0.279921516,0.159251101
C20orf196,0.134846875,0.054145664,0.199248338,0.084341227,0.062139453
CHGB,0.015338076,0,0,0.025139208,0
TRMT6,0.153862588,0.08387844,0.196366992,0.150564956,0.112948235
MCM8,0,0,0.032960123,0.053594263,0
CRLS1,0.255680309,0.481963367,0.128342294,0.375838795,0.290280805
TMX4,0.390834998,0.302012424,0.373308273,0.483482009,0.225778922
PLCB1,0.025973129,0.062080601,0.004855979,0.037321696,0
LAMP5,0,0,0,0,0
ANKEF1,0.04780048,0,0.010824479,0.016422384,0
MKKS,0.527842793,0.922279887,0.488348887,0.493030049,0.392579203
SLX4IP,0.023240037,0.008834,0.079117286,0,0.012642337
BTBD3,0.003474339,0.004618852,0.011102895,0,0.014785004
SPTLC3,0.00148773,0.010778127,0.019826046,0,0
TASP1,0.251139358,0.025134192,0.269826824,0.162221355,0.06922883
ESF1,0.18994334,0.074316078,0.137527929,0.150405892,0.234743993
NDUFAF5,0.037618923,0.047050368,0.0231299,0.063782018,0.095141783
MACROD2,0,0,0.441270913,0,0
KIF16B,0.033672931,0.090994549,0.012634159,0.043530512,0.048130028
SNRPB2,0.676804466,0.274025015,0.554296665,0.773976062,0.70981898
BFSP1,0,0,0,0.038988302,0
DSTN,1.067921525,0.357819983,0.418801252,1.389704557,1.199173423
RRBP1,0.038165186,0.24818533,0.084227403,0.09931476,0.311888971
SNX5,0.347168274,0.400607864,0.800959148,0.694306567,1.706254929
MGME1,0.087499227,0.10287048,0.308135429,0.15012152,0.177819197
PET117,0.239768995,0.202888995,0.222695161,0.224918935,0.296448637
CSRP2BP,0.029737628,0.028591299,0.086199952,0.098000346,0.03785684
ZNF133,0.039829486,0.01522753,0.019018711,0.014728408,0
DZANK1,0.004170206,0.008785069,0.012180431,0,0.019319378
POLR3F,0.106420598,0.066524523,0.083481004,0.1225695,0.03198342
